1035, -35, -40, 112
1073, -30, -34, 116
1116, -19, -23, 101
1131, -16, -25, 98
1145, -10, -23, 96
1161, -9, -22, 96
1175, -12, -13, 117
1190, -11, -13, 127
1205, -1, -27, 128
1220, 4, -36, 127
1234, 12, -40, 124
1250, 13, -33, 120
1264, 16, -35, 116
1280, 11, -19, 113
1294, 13, -19, 112
1309, 12, -21, 120
1324, 13, -20, 123
1339, 15, -23, 129
1367, 11, -23, 130
1381, 10, -24, 125
1396, 7, -25, 122
1411, -2, -27, 126
1426, -9, -34, 138
1440, -14, -36, 148
1456, -18, -38, 149
1470, -17, -36, 146
1489, -13, -30, 144
1504, -5, -25, 150
1519, -4, -25, 153
1533, -1, -27, 156
1549, -4, -26, 140
1563, -9, -24, 131
1579, -19, -22, 113
1593, -24, -20, 103
1608, -27, -16, 92
1623, -26, -16, 94
1638, -27, -22, 104
1652, -27, -27, 111
1668, -29, -31, 122
1682, -30, -35, 134
1697, -30, -35, 129
1712, -29, -34, 102
1755, -33, -32, 90
1770, -33, -31, 93
1798, -38, -27, 102
1813, -39, -25, 94
1827, -35, -22, 90
1843, -34, -17, 77
1857, -32, -13, 73
1872, -31, -11, 70
1887, -31, -9, 79
1923, -30, -18, 89
1937, -30, -19, 84
1952, -32, -22, 81
1967, -32, -27, 87
1982, -34, -31, 95
1996, -40, -37, 110
2012, -40, -37, 122
2027, -45, -43, 130
2041, -56, -59, 127
2057, -59, -61, 120
2071, -61, -61, 110
2086, -56, -50, 109
2102, -34, -24, 114
2116, -23, -13, 120
2131, -9, -6, 130
2146, -9, -5, 130
2161, -10, -2, 126
2176, -20, -2, 117
2191, -24, -3, 107
2219, -29, -23, 119
2233, -27, -33, 129
2248, -20, -45, 141
2263, -17, -48, 143
2278, -13, -42, 133
2292, -8, -35, 122
2312, -6, -28, 105
2326, -6, -21, 104
2341, -8, -24, 111
2356, -6, -24, 113
2371, -6, -19, 123
2385, -6, -18, 124
2428, 5, -19, 112
2481, 11, -30, 123
2496, 10, -24, 129
2510, 8, -18, 134
2526, 8, -11, 134
2540, 9, -8, 134
2555, 9, -13, 127
2570, 5, -4, 125
2585, 6, -18, 113
2599, 5, -28, 123
2614, 3, -40, 131
2629, -3, -33, 142
2643, -14, -42, 151
2659, -19, -41, 164
2686, -14, -22, 166
2701, -13, -13, 162
2716, -7, -21, 157
2731, -12, -20, 158
2746, -15, -17, 155
2777, -25, -17, 131
2795, -28, -19, 118
2810, -29, -22, 114
2825, -30, -26, 116
2840, -28, -31, 123
2854, -26, -34, 126
2870, -25, -36, 124
2884, -25, -33, 114
2899, -26, -29, 109
2914, -27, -22, 98
2929, -29, -20, 95
2944, -29, -20, 87
2958, -27, -23, 87
2973, -27, -29, 87
2988, -28, -35, 90
3003, -28, -35, 89
3017, -29, -30, 85
3033, -28, -26, 79
3047, -27, -22, 71
3062, -24, -24, 66
3077, -19, -28, 68
3133, -29, -16, 91
3147, -32, -15, 97
3163, -31, -15, 111
3177, -31, -24, 113
3192, -26, -39, 120
3212, -40, -51, 114
3226, -45, -54, 109
3241, -46, -49, 115
3256, -43, -35, 122
3271, -32, -23, 122
3286, -14, -16, 124
3301, -10, -18, 124
3315, -5, -20, 115
3331, -5, -23, 107
3345, -15, -19, 102
3360, -21, -17, 104
3375, -32, -15, 123
3390, -32, -19, 131
3404, -28, -23, 132
3420, -18, -35, 131
3435, -11, -45, 125
3449, -5, -50, 111
3464, -1, -46, 103
3479, -1, -40, 89
3493, 0, -36, 89
3509, 0, -33, 93
3536, 3, -35, 113
3551, 8, -40, 123
3599, 11, -16, 124
3613, 13, -3, 129
3632, 17, -3, 130
3647, 19, -3, 130
3661, 20, -3, 130
3677, 23, -9, 127
3691, 23, -10, 124
3706, 27, -8, 117
3721, 26, -6, 117
3736, 22, 5, 128
3750, 19, 8, 133
3765, 15, 9, 140
3808, 4, -6, 138
3823, -7, -15, 140
3837, -12, -21, 151
3853, -12, -18, 160
3867, -10, -13, 172
3883, -7, -10, 181
3897, -6, -11, 181
3912, -7, -25, 164
3927, -7, -32, 158
3942, -11, -44, 137
3956, -13, -45, 127
3972, -16, -42, 118
3998, -23, -23, 124
4014, -25, -15, 131
4028, -24, -16, 129
4043, -23, -17, 125
4062, -21, -15, 118
4077, -26, -21, 108
4091, -25, -23, 106
4107, -27, -26, 96
4121, -26, -25, 95
4136, -27, -26, 94
4151, -28, -25, 95
4165, -27, -25, 95
4180, -30, -20, 94
4195, -30, -21, 95
4210, -28, -21, 89
4225, -26, -22, 81
4239, -22, -21, 69
4254, -17, -20, 65
4269, -14, -19, 63
4284, -12, -21, 69
4298, -14, -24, 73
4314, -20, -21, 86
4328, -23, -22, 87
4343, -25, -22, 92
4358, -25, -30, 93
4388, -25, -47, 111
4416, -53, -52, 122
4431, -58, -48, 124
4474, -24, -7, 124
4493, -3, -11, 122
4508, 0, -19, 111
4523, -3, -19, 106
4538, -13, -12, 110
4552, -20, -8, 113
4568, -25, -11, 118
4582, -30, -26, 133
4597, -28, -32, 137
4612, -18, -38, 136
4627, -13, -38, 135
4642, -7, -34, 129
4657, -5, -32, 129
4672, -4, -30, 121
4686, -4, -26, 114
4701, -4, -23, 111
4716, -2, -15, 105
4730, 0, -11, 104
4746, 1, -9, 108
4760, 2, -14, 111
4775, 8, -16, 132
4790, 8, -19, 140
4805, 9, -15, 142
4819, 11, -6, 139
4847, 16, 2, 119
4861, 19, 0, 116
4877, 21, -3, 117
4895, 22, -7, 126
4911, 21, -6, 132
4925, 19, -4, 130
4940, 18, -2, 121
4955, 16, -5, 118
