2533, -28, -8, 285
2589, -21, 7, 237
2609, -14, 13, 227
2628, -32, -10, 317
2648, -30, 26, 234
2667, -21, 9, 242
2686, -21, 21, 232
2706, -19, 13, 236
2725, -22, 11, 234
2745, -22, 14, 241
2764, -20, 13, 234
2784, -21, 13, 235
2803, -20, 14, 235
2823, -20, 15, 236
2842, -23, 14, 234
2862, -22, 15, 235
2881, -21, 14, 235
2900, -21, 14, 235
2920, -22, 13, 236
2939, -21, 14, 237
2959, -21, 15, 236
2978, -21, 14, 236
2998, -22, 14, 234
3033, -20, 13, 234
3051, -21, 12, 236
3070, -20, 13, 236
3094, -20, 14, 236
3113, -21, 14, 236
3133, -21, 14, 234
3152, -20, 14, 237
3172, -20, 14, 234
3191, -21, 13, 234
3211, -27, 18, 233
3230, -21, 38, 238
3249, -11, -29, 243
3268, -19, -37, 253
3288, -19, -122, 246
3307, -44, 140, 234
3326, -23, 131, 285
3346, -36, -24, 324
3365, 5, -53, 292
3411, -10, 18, 255
3431, 15, 22, 254
3450, 60, 68, 247
3470, 50, 33, 289
3489, 41, 21, 270
3509, 24, 29, 223
3527, 10, 25, 245
3562, 45, 51, 226
3581, 65, 29, 242
3601, 80, 74, 239
3620, 85, 95, 260
3644, 76, 72, 256
3663, 46, 92, 202
3693, 18, 118, 155
3713, 25, 86, 183
3731, 36, 54, 178
3750, 30, 65, 165
3770, 35, 103, 147
3789, 37, 143, 125
3809, 25, 152, 148
3828, 45, 173, 162
3848, 47, 142, 162
3867, 49, 117, 159
3887, 48, 154, 150
3906, 41, 206, 139
3924, 37, 199, 144
3944, 33, 194, 153
3963, 37, 186, 131
3983, 28, 194, 115
4002, 42, 176, 136
4022, 64, 186, 144
4057, 66, 207, 135
4076, 56, 198, 137
4096, 47, 196, 134
4114, 40, 193, 133
4133, 37, 196, 124
4153, 43, 197, 123
4176, 35, 190, 120
4196, 36, 183, 115
4242, 53, 171, 105
4261, 53, 140, 131
4281, 56, 143, 128
4300, 50, 139, 159
4320, 53, 107, 165
4339, 42, 76, 166
4359, 24, 76, 153
4378, 26, 61, 175
4397, 32, 37, 202
4416, 45, -32, 249
4435, 41, -24, 240
4455, 18, 30, 225
4474, 14, 33, 232
4494, -1, 8, 271
4513, -9, -11, 281
4533, -17, -13, 270
4551, -30, 12, 292
4631, -44, 9, 258
4651, -32, -6, 234
4670, -41, -15, 302
4689, -32, -24, 274
4709, -21, 15, 255
4728, -36, 1, 266
4748, -14, -1, 223
4771, -11, -14, 203
4791, -33, -24, 233
4809, -28, -11, 259
4829, -5, -1, 238
4848, -2, 19, 240
4868, -4, 69, 237
4898, -26, 33, 231
4918, -49, 133, 358
4937, -7, -29, 257
4956, -23, 19, 239
4976, -11, 33, 235
4996, -12, 22, 234
5015, -22, -9, 226
5033, -16, -12, 240
5053, -7, 3, 249
5072, -12, 31, 235
5120, -9, 15, 191
5154, -59, -29, 298
5174, 0, 25, 193
5193, -30, 19, 242
5213, -7, 5, 225
5231, -31, -34, 248
5251, -18, 12, 231
5270, -23, 17, 234
5289, -22, 17, 234
5309, -20, 14, 236
5326, -21, 15, 236
5346, -23, 17, 236
5364, -18, 11, 235
5384, -24, 16, 238
5403, -22, 15, 238
5423, -21, 12, 236
5442, -22, 12, 235
5462, -22, 12, 235
5481, -22, 15, 235
5500, -20, 14, 233
5519, -22, 15, 234
5538, -20, 15, 236
5558, -22, 15, 233
5577, -20, 15, 234
5597, -19, 16, 237
5616, -21, 15, 234
5651, -21, 14, 234
5669, -22, 16, 235
5689, -21, 11, 235
5708, -20, 13, 234
5728, -23, 14, 234
5747, -22, 14, 234
5767, -21, 14, 235
5786, -19, 15, 236
5806, -18, 15, 235
5828, -21, 15, 235
5848, -21, 14, 236
5867, -21, 13, 235
5886, -20, 14, 235
5906, -19, 15, 236
5952, -22, 15, 235
5971, -20, 14, 237
5991, -23, 16, 237
6010, -21, 14, 234
6030, -21, 15, 238
6048, -20, 15, 234
6078, -21, 14, 235
6097, -20, 13, 235
6117, -21, 14, 235
6136, -20, 14, 235
6171, -20, 15, 236
6190, -21, 12, 233
6209, -22, 14, 234
6228, -21, 14, 236
6248, -21, 13, 235
6267, -20, 14, 234
6287, -21, 14, 235
6306, -22, 13, 234
6325, -20, 12, 234
6344, -20, 13, 234
6364, -21, 14, 234
6387, -20, 15, 236
6407, -20, 15, 235
6426, -23, 15, 236
6446, -20, 15, 234
6464, -20, 14, 236
6483, -22, 13, 235
6503, -22, 13, 236
6522, -23, 16, 239
6542, -19, 14, 236
6561, -20, 14, 234
6581, -21, 14, 237
6599, -21, 15, 233
6619, -19, 14, 233
6638, -21, 13, 233
6673, -20, 14, 237
6692, -18, 14, 234
6712, -20, 13, 235
6731, -20, 15, 236
6751, -21, 14, 238
6798, -21, 15, 235
6817, -20, 14, 235
6837, -22, 15, 235
6855, -20, 14, 236
6875, -20, 16, 235
6894, -21, 14, 235
6919, -20, 14, 237
6938, -20, 14, 234
6957, -21, 16, 236
6976, -21, 13, 235
6995, -21, 13, 236
7015, -19, 15, 236
7034, -21, 13, 235
7054, -21, 14, 235
7073, -20, 14, 233
7093, -22, 15, 235
7112, -21, 13, 233
7132, -20, 13, 232
7151, -20, 15, 237
7171, -21, 14, 235
7204, -21, 15, 235
7224, -21, 14, 232
7254, -20, 14, 236
7273, -22, 15, 234
7292, -21, 16, 236
7312, -22, 14, 233
7331, -20, 14, 235
7351, -21, 13, 236
7369, -21, 14, 234
7389, -21, 14, 238
7408, -23, 14, 234
7428, -19, 15, 234
7451, -21, 14, 234
7471, -19, 15, 235
7489, -21, 14, 238
7508, -22, 14, 237
7528, -21, 12, 233
7547, -21, 14, 233
7567, -22, 15, 234
7613, -21, 13, 233
7632, -20, 14, 235
7652, -20, 13, 236
7671, -21, 14, 234
7690, -19, 16, 234
7725, -20, 13, 235
7744, -19, 16, 235
7763, -20, 15, 236
7783, -20, 13, 234
7801, -20, 13, 237
7821, -19, 13, 236
7840, -19, 14, 234
7860, -20, 14, 233
7879, -21, 15, 234
7899, -22, 12, 235
7917, -21, 13, 235
7937, -20, 12, 234
7956, -23, 14, 231
7975, -20, 13, 233
7993, -22, 14, 233
8012, -19, 12, 230
8031, -21, 14, 236
8050, -23, 13, 236
8070, -21, 12, 234
8089, -22, 16, 236
8109, -21, 14, 239
8127, -21, 15, 237
8146, -21, 13, 236
8166, -20, 15, 233
8185, -18, 14, 234
8220, -21, 13, 235
8240, -21, 15, 234
8258, -22, 15, 236
8278, -21, 11, 234
8297, -21, 14, 235
8316, -23, 14, 232
8336, -21, 13, 234
8354, -20, 15, 235
8374, -21, 13, 234
8404, -22, 13, 236
8423, -19, 14, 234
8470, -22, 14, 235
8489, -21, 15, 237
8508, -22, 13, 236
8531, -22, 13, 236
8551, -21, 15, 235
8570, -21, 14, 234
8590, -19, 14, 234
8609, -20, 15, 232
8629, -20, 14, 235
8648, -21, 15, 235
8667, -21, 15, 234
8686, -20, 15, 236
8706, -20, 15, 235
8775, -22, 14, 237
8795, -21, 15, 236
8814, -20, 14, 233
8834, -20, 15, 237
8853, -21, 13, 235
8871, -21, 14, 236
8891, -21, 12, 234
8910, -23, 14, 234
8930, -22, 13, 233
8949, -21, 15, 237
8969, -20, 14, 235
8988, -21, 13, 233
9008, -20, 14, 233
9026, -20, 13, 234
9046, -20, 14, 233
9065, -21, 14, 234
9089, -21, 15, 236
9107, -22, 14, 234
9126, -21, 15, 235
9145, -21, 15, 236
9164, -22, 15, 236
9183, -21, 15, 235
9202, -19, 15, 237
9221, -21, 13, 234
9240, -22, 15, 235
9274, -20, 13, 235
9320, -20, 15, 236
9339, -20, 14, 237
9358, -21, 15, 235
9377, -20, 13, 236
9396, -19, 14, 236
9415, -22, 16, 238
9434, -22, 14, 236
9453, -21, 14, 233
9472, -20, 14, 236
9491, -19, 14, 238
9509, -20, 13, 236
9529, -20, 13, 235
9547, -21, 15, 234
9567, -21, 14, 233
9585, -22, 15, 233
9619, -21, 14, 233
9637, -20, 15, 235
9657, -21, 16, 235
9675, -20, 15, 234
9695, -21, 14, 234
9713, -22, 13, 233
9733, -21, 14, 235
9751, -21, 15, 236
9786, -21, 14, 236
9804, -21, 15, 233
9824, -21, 13, 236
9842, -21, 13, 235
9862, -20, 14, 234
9880, -19, 15, 235
9900, -22, 15, 235
9918, -22, 15, 236
9936, -20, 14, 236
9956, -21, 15, 234
9975, -22, 15, 234
9994, -21, 16, 237
10013, -22, 14, 235
10032, -21, 13, 232
10051, -20, 14, 234
10070, -21, 13, 235
10089, -22, 13, 234
10134, -20, 15, 235
10158, -23, 14, 236
10177, -22, 14, 235
10196, -22, 13, 235
10216, -20, 13, 236
10235, -21, 14, 237
10255, -21, 13, 234
10274, -19, 13, 235
10308, -22, 14, 237
10328, -21, 15, 235
10347, -20, 14, 236
10366, -21, 14, 234
10386, -22, 16, 236
10405, -22, 14, 234
10425, -21, 16, 237
10444, -22, 13, 235
10464, -22, 13, 235
10483, -22, 14, 236
10503, -21, 14, 236
10522, -20, 14, 235
10542, -21, 16, 236
10561, -21, 13, 235
10580, -21, 14, 236
10600, -21, 14, 235
10618, -19, 15, 235
10642, -21, 15, 235
10661, -21, 13, 237
10681, -20, 12, 236
10700, -20, 14, 236
10720, -21, 13, 236
10739, -20, 13, 235
10769, -21, 13, 236
10804, -20, 14, 237
10823, -21, 14, 236
10843, -20, 14, 234
10862, -22, 13, 233
10882, -21, 14, 234
10901, -22, 13, 238
10920, -20, 14, 237
10968, -21, 13, 235
10987, -21, 13, 235
11006, -21, 13, 235
11026, -22, 13, 235
11045, -21, 14, 235
11065, -19, 14, 235
11084, -21, 14, 235
11104, -20, 13, 233
11123, -21, 14, 235
11143, -21, 13, 236
11166, -21, 15, 234
11186, -21, 13, 234
11205, -22, 14, 235
11225, -21, 16, 236
11244, -21, 13, 237
11264, -21, 15, 233
11283, -22, 14, 237
11302, -21, 13, 235
11336, -21, 13, 235
11356, -21, 14, 234
11375, -21, 14, 235
11395, -21, 14, 235
11414, -21, 13, 236
11433, -21, 14, 233
11453, -21, 14, 233
11472, -21, 15, 236
11492, -20, 14, 235
11511, -20, 14, 233
11531, -22, 14, 236
11549, -20, 15, 234
11569, -21, 14, 238
11588, -22, 15, 236
11608, -21, 14, 236
11627, -19, 15, 236
11646, -21, 14, 234
11670, -22, 15, 235
11689, -21, 13, 233
11709, -19, 15, 235
11728, -21, 14, 234
11774, -19, 15, 237
11794, -21, 13, 233
11813, -20, 14, 236
11848, -21, 14, 234
11867, -22, 13, 235
11886, -20, 14, 234
11906, -20, 14, 234
11925, -21, 15, 236
11944, -21, 13, 235
11974, -21, 14, 235
11994, -20, 13, 236
12013, -22, 13, 235
12033, -21, 15, 235
12052, -21, 13, 234
12071, -19, 14, 235
12091, -21, 15, 236
12110, -20, 15, 236
12129, -22, 13, 234
12148, -24, 14, 235
12168, -21, 14, 234
12191, -23, 13, 233
12211, -21, 14, 234
12230, -21, 14, 232
12250, -21, 14, 235
12269, -18, 14, 235
12289, -21, 14, 236
12308, -22, 13, 235
12326, -20, 12, 233
12361, -22, 14, 233
12381, -19, 16, 236
12400, -22, 15, 237
12420, -21, 15, 233
12439, -21, 16, 236
12459, -22, 14, 235
12478, -22, 14, 236
12497, -22, 14, 235
12517, -21, 15, 234
12535, -19, 14, 233
12555, -22, 13, 234
12574, -21, 15, 236
12621, -21, 14, 234
12641, -21, 14, 237
12660, -21, 14, 235
12680, -21, 14, 235
12699, -19, 15, 237
12723, -23, 14, 236
12742, -21, 14, 236
12762, -21, 15, 232
12781, -20, 15, 236
12801, -22, 14, 234
12820, -22, 15, 237
12839, -20, 14, 235
12874, -21, 13, 235
12893, -21, 13, 234
12912, -23, 15, 236
12932, -19, 16, 235
12951, -22, 14, 236
12971, -22, 14, 236
12990, -18, 13, 234
13009, -21, 14, 235
13029, -21, 14, 236
13048, -21, 14, 235
13068, -20, 14, 235
13087, -21, 14, 235
13107, -21, 16, 236
13136, -20, 14, 234
13155, -21, 14, 236
13174, -21, 15, 233
13194, -20, 13, 236
13217, -20, 13, 236
13237, -20, 16, 234
13256, -21, 15, 233
13276, -19, 13, 234
13295, -21, 13, 234
13315, -19, 14, 237
13334, -20, 13, 233
13353, -22, 16, 239
13425, -20, 14, 235
13445, -20, 16, 234
13491, -19, 14, 237
13510, -20, 14, 235
13530, -21, 14, 235
13549, -22, 15, 237
13569, -22, 15, 234
